pop_inicial tipo1_inicial tipo2_inicial n/2_100%_infectados tipo1_n/2_100%_infectados tipo2_n/2_100%_infectados curados_n/2_100%_infectados mortos_n/2_100%_infectados n/2+1_100%_infectados tipo1_n/2+1_100%_infectados tipo2_n/2+1_100%_infectados curados_n/2+1_100%_infectados mortos_n/2+1_100%_infectados n_100%_infectados tipo1_n_100%_infectados tipo2_n_100%_infectados curados_n_100%_infectados mortos_n_100%_infectados n/2_pico tipo1_n/2_pico tipo2_n/2_pico curados_n/2_pico mortos_n/2_pico n/2+1_pico tipo1_n/2+1_pico tipo2_n/2+1_pico curados_n/2+1_pico mortos_n/2+1_pico n_pico tipo1_n_pico tipo2_n_pico curados_n_pico mortos_n_pico n_total sadios_n_total curados_n_total mortos_n_total
1600 1 0 24 322 74 210 12 25 341 87 239 13 49 78 26 1429 67 17 213 69 45 4 18 223 68 63 8 34 537 132 597 37 59 0 1529 71
1600 1 0 23 291 72 145 14 24 311 78 172 17 47 151 46 1338 65 17 188 46 42 8 18 209 52 51 8 35 494 149 617 44 57 0 1532 68
1600 1 0 24 312 90 164 14 25 324 93 196 15 49 102 33 1408 57 17 181 52 30 5 18 192 64 45 6 35 517 126 603 39 59 0 1541 59
1600 1 0 23 345 89 181 17 24 367 95 205 19 46 116 42 1380 62 16 209 54 29 7 17 228 57 41 9 32 502 159 551 33 56 0 1536 64
1600 1 0 25 299 101 165 20 26 321 106 192 22 50 112 28 1389 71 17 170 32 23 9 18 190 42 32 9 35 499 129 550 43 60 0 1527 73
1600 1 0 24 332 80 177 13 25 351 80 205 16 49 97 33 1401 69 16 160 55 28 3 17 182 59 43 3 33 499 144 524 38 59 0 1531 69
1600 1 0 24 323 88 162 11 25 333 91 192 12 48 175 47 1314 64 16 162 44 22 5 17 186 50 31 6 32 444 146 454 29 58 0 1535 65
1600 1 0 23 318 86 166 17 24 331 91 194 17 46 155 39 1350 56 18 213 70 65 7 19 235 70 80 10 36 507 139 716 37 56 0 1540 60
1600 1 0 23 310 99 185 10 24 324 103 222 13 47 120 33 1389 58 15 184 37 30 0 16 198 47 41 0 31 490 139 469 23 57 0 1541 59
1600 1 0 24 350 87 188 22 25 372 89 230 24 48 116 32 1391 61 17 202 65 39 10 18 226 68 51 12 34 484 131 618 41 58 0 1537 63
1600 1 0 25 326 107 166 12 26 344 112 197 13 50 105 33 1403 59 17 166 50 28 5 18 181 55 37 7 35 484 128 591 34 60 0 1540 60
1600 1 0 23 326 79 184 12 24 346 86 213 13 47 128 38 1381 52 17 219 49 52 6 18 243 49 69 7 35 481 142 687 34 57 1 1542 57
1600 1 0 25 303 86 157 13 26 330 96 179 14 51 110 29 1400 61 18 170 52 36 5 19 180 61 44 5 37 505 134 632 36 61 0 1535 65
1600 1 0 22 297 65 159 13 23 315 84 182 15 45 173 38 1327 62 17 214 46 51 5 18 236 55 66 5 35 500 154 686 42 55 0 1537 63
1600 1 0 23 282 98 162 16 24 305 105 187 17 47 121 21 1378 80 17 187 46 44 9 18 197 45 64 11 35 536 146 632 46 57 0 1515 85
